                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3275,                0.74436,                 1.4679,                 0.9274,                0.90651,                0.95756,                 0.6006,                  1.274,                0.62762,                 1.5302,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3182,                0.72795,                 1.4637,                0.92921,                 0.9142,                0.95881,                0.62489,                 1.1815,                0.60603,                  1.466,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3139,                0.73205,                 1.4647,                0.92208,                0.90973,                0.96093,                0.62366,                 1.1971,                0.61125,                 1.4729,               0.001307,               0.001307,               0.001307
                     38,                  1.286,                0.71912,                  1.438,                0.91223,                0.90824,                0.95718,                0.63113,                 1.1796,                0.62023,                 1.4596,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3034,                0.71374,                  1.439,                0.92039,                0.90276,                0.96105,                0.62748,                 1.1858,                0.59307,                 1.4686,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2782,                0.70589,                 1.4371,                0.91859,                0.90802,                0.96222,                0.63996,                 1.1648,                0.57797,                 1.4483,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2829,                0.70704,                 1.4377,                 0.9256,                 0.9155,                0.96462,                0.63679,                 1.1646,                0.57659,                 1.4425,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2664,                0.69124,                 1.4132,                0.93667,                0.90933,                0.96399,                0.64179,                  1.161,                0.58188,                 1.4425,               0.001208,               0.001208,               0.001208
                     43,                 1.2657,                0.69684,                 1.4228,                0.91824,                0.91327,                0.96348,                0.62087,                 1.2077,                0.59266,                 1.4775,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.246,                0.68205,                 1.4066,                0.92687,                0.92247,                0.96933,                0.65109,                 1.1315,                0.57175,                 1.4165,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2421,                0.68242,                 1.4102,                0.91651,                0.90999,                0.96184,                0.63839,                 1.1437,                0.57182,                 1.4334,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2409,                0.67843,                 1.4046,                0.92192,                0.91545,                0.95982,                0.64416,                 1.1498,                0.56075,                 1.4318,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2544,                0.68488,                  1.424,                0.90139,                 0.9205,                 0.9531,                0.63129,                 1.1618,                0.58263,                  1.441,               0.001109,               0.001109,               0.001109
                     48,                 1.2197,                0.66348,                  1.387,                0.91369,                 0.9159,                0.96196,                0.64088,                 1.1465,                0.54987,                 1.4274,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2271,                0.66178,                 1.3929,                0.92224,                0.91954,                0.96683,                 0.6417,                 1.1535,                0.55869,                 1.4357,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2315,                0.65869,                 1.3823,                0.92047,                 0.9251,                0.96564,                 0.6505,                  1.138,                0.54889,                 1.4352,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2297,                0.66169,                 1.3866,                0.92673,                0.91524,                0.96386,                0.64732,                 1.1556,                0.54731,                 1.4419,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2195,                0.64824,                  1.383,                0.92428,                0.92641,                0.96606,                0.65449,                 1.1387,                0.53256,                 1.4194,                0.00101,                0.00101,                0.00101
                     53,                 1.2187,                0.65144,                 1.3804,                0.92839,                0.92116,                0.96249,                0.64334,                 1.1487,                0.55075,                   1.44,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2062,                0.64946,                 1.3718,                0.91442,                0.93627,                0.96834,                0.64892,                 1.1175,                0.54019,                 1.4112,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.204,                0.64812,                 1.3741,                0.93612,                0.92432,                 0.9693,                0.65517,                 1.1229,                0.54054,                  1.404,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1899,                0.63118,                 1.3647,                0.91301,                0.93788,                0.97092,                 0.6507,                 1.1382,                0.54462,                 1.4322,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2122,                0.63599,                 1.3775,                0.92884,                0.93101,                0.96882,                0.64826,                 1.1473,                0.53089,                 1.4296,               0.000911,               0.000911,               0.000911
                     58,                 1.1845,                0.62622,                 1.3553,                0.93187,                0.92565,                0.96858,                0.66142,                 1.1154,                0.51802,                  1.406,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1984,                0.62556,                 1.3653,                0.93127,                0.92593,                 0.9675,                0.66272,                 1.1054,                0.53224,                 1.3932,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1674,                0.61219,                 1.3521,                0.93596,                0.92641,                0.96939,                  0.662,                  1.106,                0.51509,                 1.4026,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1983,                0.63223,                 1.3655,                0.92988,                0.91984,                0.96903,                0.65485,                 1.1093,                0.53522,                 1.4058,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1867,                0.62135,                 1.3525,                0.94098,                0.92176,                0.96513,                0.64817,                 1.1555,                0.51696,                 1.4364,               0.000812,               0.000812,               0.000812
                     63,                 1.1883,                 0.6233,                 1.3482,                0.93952,                0.92876,                0.97126,                0.66165,                 1.1106,                0.51551,                 1.3975,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1793,                0.61645,                 1.3482,                0.92409,                0.93495,                0.97001,                0.65645,                 1.1151,                0.52247,                 1.4094,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1613,                0.60867,                 1.3421,                0.92801,                0.93298,                0.96665,                0.66429,                 1.0985,                0.52361,                 1.3885,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1677,                0.60743,                 1.3419,                 0.9228,                0.93453,                0.96845,                0.65556,                  1.136,                0.51999,                 1.4252,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1464,                0.60571,                  1.339,                0.93034,                0.93891,                0.97241,                0.66514,                 1.1041,                0.51452,                 1.4013,               0.000713,               0.000713,               0.000713
                     68,                 1.1396,                0.60254,                 1.3279,                0.94875,                0.92378,                0.97469,                0.66674,                 1.1218,                0.51074,                 1.4077,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1591,                0.60372,                  1.329,                0.92654,                0.92811,                0.97007,                0.66199,                 1.1243,                0.51416,                 1.4154,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1623,                0.60132,                 1.3251,                0.93873,                0.94152,                0.97439,                0.66681,                  1.109,                0.49787,                 1.3948,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1351,                0.59073,                 1.3259,                0.93406,                0.92142,                0.96521,                0.65532,                 1.1155,                0.51163,                 1.4095,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1432,                0.59696,                 1.3315,                0.92853,                0.93046,                0.96757,                0.66581,                 1.1132,                0.51006,                 1.3889,               0.000614,               0.000614,               0.000614
                     73,                 1.1277,                0.58233,                 1.3083,                0.92835,                0.92707,                0.97034,                0.67265,                 1.0825,                0.50968,                 1.3757,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1253,                0.57694,                 1.3197,                0.93998,                0.92607,                0.97332,                0.66766,                 1.1036,                0.50623,                 1.3895,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1367,                0.58821,                 1.3269,                0.93032,                0.92707,                0.96726,                0.66806,                 1.0828,                0.51041,                 1.3838,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1213,                0.57595,                 1.3042,                0.93821,                0.93627,                0.97055,                0.67391,                 1.0853,                0.48966,                 1.3826,              0.0005348,              0.0005348,              0.0005348
                     77,                  1.125,                0.57937,                 1.3095,                0.94131,                0.93101,                0.97011,                0.67139,                 1.0938,                0.49889,                 1.3866,               0.000515,               0.000515,               0.000515
                     78,                 1.1172,                0.58059,                 1.3057,                0.94692,                0.92773,                0.97318,                0.67564,                 1.0864,                0.48524,                 1.3792,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1059,                  0.572,                 1.2971,                0.94589,                0.93038,                0.97473,                0.68057,                 1.0829,                0.48331,                  1.378,              0.0004754,              0.0004754,              0.0004754
